Episode 0: 3.31092s
Episode 1: 11.1919s
Episode 2: 19.8075s
Episode 3: 27.6878s
Episode 4: 35.88s
         4956584 function calls (4830750 primitive calls) in 37.703 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      880    0.006    0.000    0.006    0.000 {method 'item' of 'torch._C._TensorBase' objects}
     2000    0.006    0.000    0.006    0.000 {built-in method builtins.round}
      220    0.002    0.000    0.006    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/models/utils.py:100(__init__)
     4551    0.004    0.000    0.006    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:3164(ndim)
      550    0.000    0.000    0.006    0.000 <__array_function__ internals>:177(transpose)
      220    0.006    0.000    0.006    0.000 {method 'mean' of 'torch._C._TensorBase' objects}
     1000    0.005    0.000    0.006    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/gym/spaces/discrete.py:30(contains)
      220    0.001    0.000    0.005    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/autograd/__init__.py:30(_make_grads)
     7064    0.004    0.000    0.005    0.000 /usr/lib/python3.9/random.py:237(_randbelow_with_getrandbits)
     3099    0.002    0.000    0.005    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:1612(children)
      880    0.002    0.000    0.005    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/autograd/profiler.py:439(__exit__)
      880    0.001    0.000    0.005    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/sampler.py:100(num_samples)
      550    0.000    0.000    0.005    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:601(transpose)
      440    0.005    0.000    0.005    0.000 {built-in method randperm}
     1100    0.000    0.000    0.005    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/models/utils.py:126(__len__)
     1004    0.002    0.000    0.005    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/numerictypes.py:356(issubdtype)
      561    0.005    0.000    0.005    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     2000    0.004    0.000    0.004    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/_methods.py:106(_clip_dep_invoke_with_casting)
      550    0.002    0.000    0.004    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:38(_wrapit)
      220    0.004    0.000    0.004    0.000 {built-in method ones_like}
     1100    0.002    0.000    0.004    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/_tensor.py:676(__len__)
     2003    0.003    0.000    0.004    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/getlimits.py:457(__new__)
       25    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:916(get_code)
     4552    0.004    0.000    0.004    0.000 {built-in method numpy.asarray}
      880    0.004    0.000    0.004    0.000 {built-in method torch._ops.profiler._record_function_exit}
     1551    0.003    0.000    0.003    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     3099    0.003    0.000    0.003    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:1621(named_children)
      220    0.001    0.000    0.003    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/sampler.py:85(__init__)
      450    0.003    0.000    0.003    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/policies/__init__.py:41(random_policy)
      478    0.001    0.000    0.003    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/rnn.py:126(__setattr__)
    13217    0.003    0.000    0.003    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
4180/3960    0.003    0.000    0.003    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/dataloader.py:345(__setattr__)
        1    0.000    0.000    0.003    0.003 /home/filipesousa/.local/lib/python3.9/site-packages/sklearn/model_selection/__init__.py:1(<module>)
     1000    0.002    0.000    0.003    0.000 /home/filipesousa/Documents/GitHub/ad-hoc-deep-learning/src/lib/ATPO_policy.py:167(remember)
      550    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(put)
     4000    0.002    0.000    0.003    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/_methods.py:101(_clip_dep_is_byte_swapped)
        1    0.000    0.000    0.003    0.003 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/agents/dqn/DQNAgent.py:19(__init__)
     2008    0.002    0.000    0.003    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/numerictypes.py:282(issubclass_)
       55    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:901(_find_spec)
      889    0.000    0.000    0.003    0.000 /usr/lib/python3.9/abc.py:117(__instancecheck__)
      550    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(nonzero)
      440    0.003    0.000    0.003    0.000 {method 'random_' of 'torch._C._TensorBase' objects}
      220    0.001    0.000    0.002    0.000 {built-in method builtins.all}
      220    0.001    0.000    0.002    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/functional.py:46(broadcast_tensors)
     1012    0.002    0.000    0.002    0.000 {built-in method numpy.array}
      454    0.002    0.000    0.002    0.000 {built-in method empty}
    24541    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
      889    0.001    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
    26026    0.002    0.000    0.002    0.000 {built-in method torch._C._has_torch_function_unary}
       55    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
        2    0.000    0.000    0.002    0.001 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/rnn.py:133(flatten_parameters)
       55    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
     3174    0.001    0.000    0.002    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/_tensor.py:706(__hash__)
       25    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
       25    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
      550    0.000    0.000    0.002    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:486(put)
